protein_id,matrixdb_ecm,matrisome,species_ncbi,go_terms,keywords,dataset,interaction_count
A0MSJ1,True,,7955,Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
C7DZK3,True,,7955,Basement membrane|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
Q7Z4B0,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q3UST5,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A7MCS3,True,,7955,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q30D77,True,Collagens|Core matrisome,10090,Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
Q557B8,True,,44689,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q54NU3,True,,44689,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q54TT6,True,,44689,Extracellular matrix|Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q8T2A1,True,,44689,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q54CU4,True,,44689,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q64739,True,Collagens|Core matrisome,10090,Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
Q05306,True,Collagens|Core matrisome,10090,Extracellular matrix|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
P08125,True,Collagens|Core matrisome,9031,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
P23206,True,,9913,Extracellular region,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
Q6ZQ11,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P32753,True,,9940,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P33046,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P54229,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P54228,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P50705,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q8BVB5,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q30KP6,True,,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q70KL2,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q32ZF7,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q70KL3,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q32ZF8,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q7TNV7,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P46159,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P50707,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P50706,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P50704,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P56425,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P28312,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P28311,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P28310,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P28309,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q54CS6,True,,44689,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q55BZ5,True,,44689,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q8N688,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
B0R191,True,,7955,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q8CG08,True,,10116,Extracellular matrix|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
Q9D1D6,True,ECM Glycoproteins|Core matrisome,10090,Extracellular matrix|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
P21927,True,,9986,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q03311,True,,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q32ZF3,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P32750,True,,9615,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q075Z2,True,ECM Glycoproteins|Core matrisome,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q9XPJ9,True,,44689,Extracellular matrix,,Swiss-Prot,0
P54638,True,,44689,Extracellular matrix,,Swiss-Prot,0
P04638,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
